23:40:17 | DB_CALL  |    641ms | rows=2
23:40:18 | DB_CALL  |    195ms | rows=1
23:40:18 | REQUEST  |    844ms | GET /admin/dashboard -> 200
23:40:19 | DB_CALL  |    226ms | rows=1
23:40:19 | DB_CALL  |    226ms | rows=1
23:40:19 | REQUEST  |    232ms | GET /admin/export-attendance -> 200
23:47:18 | DB_CALL  |   1054ms | rows=1
23:48:21 | DB_CALL  |    700ms | rows=1
23:48:21 | DB_CALL  |    908ms | rows=1
23:48:21 | REQUEST  |    925ms | GET /admin/dashboard -> 200
23:48:33 | DB_CALL  |    543ms | rows=3
23:48:33 | REQUEST  |    560ms | GET /admin/events -> 200
23:48:40 | REQUEST  |      5ms | GET /admin/verify -> 200
23:48:43 | DB_CALL  |    502ms | rows=2
23:48:43 | REQUEST  |    515ms | GET /admin/users -> 200
